comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-ED-MAIN-BASE-OUR-M-RESI,R.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.11717232657909771,0.01904757327520604,-0.12608686527923318,-0.10825778787896223,1.9073486328125e-06,3.814697265625e-06,-6.151561927923873,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-STAT,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.0809168634483612,0.0266366884827152,-0.09338321739759146,-0.06845050949913094,3.101108768312247e-11,1.2404435073248987e-10,-3.0377974161791514,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-ASIM,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,0.004275783130023675,0.011369595568447048,-0.0010453513911776189,0.00959691765122497,0.1089625500593507,0.1089625500593507,0.37607169967328014,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-FPS,R.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,0.04868047318942417,0.02727457374590694,0.03591557974737721,0.061445366631471134,1.732941369600337e-07,5.19882410880101e-07,1.7848298434628915,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-RESI,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.007547169811320753,0.003871616422962845,0.005735197549242185,0.009359142073399322,6.334248366623973e-05,0.00019002745099871917,1.9493588689617927,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-STAT,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.0028301886792452824,0.004435493830015349,0.0007543136672114327,0.004906063691279132,0.014305878435429648,0.028611756870859296,0.6380774695464942,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-ASIM,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-FPS,lcc_ratio.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.0018867924528301883,0.003871616422962845,7.482019075161976e-05,0.0036987647149087565,0.04550026389635839,0.04550026389635839,0.48733971724044817,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-RESI,avg_path_len.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.12507153224134365,0.008636567125602462,-0.12911357007813828,-0.12102949440454902,1.9073486328125e-06,5.7220458984375e-06,-14.481625676315117,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-STAT,avg_path_len.paired_delta,fair,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.12932960121639372,0.006759545260914133,-0.13249316577934903,-0.12616603665343842,4.799687716053168e-26,1.9198750864212672e-25,-19.132884864935978,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-ASIM,avg_path_len.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.13046720575022466,0.009310676188006572,-0.13482473633972264,-0.1261096751607267,8.844915021211901e-05,0.00017639740408388906,-14.012645603364911,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-FPS,avg_path_len.paired_delta,fair,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.1298014721127929,0.005095358201896376,-0.13218617315715028,-0.1274167710684355,8.819870204194453e-05,0.00017639740408388906,-25.47445478209633,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-RESI,R.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.13938611410056362,0.023714083191371468,-0.15048464666916592,-0.12828758153196132,1.9073486328125e-06,3.814697265625e-06,-5.8777778999814005,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-STAT,R.paired_delta,raw,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.08399920021829813,0.03023188605409055,-0.09814815842485797,-0.06985024201173828,1.434536190713308e-10,5.738144762853232e-10,-2.778496851569489,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-ASIM,R.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.07142038762566232,0.02561012061557515,-0.08340629302390326,-0.05943448222742136,1.9073486328125e-06,3.814697265625e-06,-2.7887563943071405,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-FPS,R.paired_delta,raw,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,0.04868047318942417,0.02727457374590694,0.03591557974737721,0.061445366631471134,1.732941369600337e-07,5.19882410880101e-07,1.7848298434628915,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-RESI,lcc_ratio.paired_delta,raw,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,0.009433962264150941,0.0,0.009433962264150941,0.009433962264150941,0.0,0.0,0.0,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-STAT,lcc_ratio.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.0033018867924528295,0.004616608348392385,0.0011412475766067222,0.005462526008298937,0.0081509715935027,0.0163019431870054,0.7152191702817127,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-ASIM,lcc_ratio.paired_delta,raw,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,0.0,0.0,0.0,0.0,,,0.0,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-FPS,lcc_ratio.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,0.0018867924528301883,0.003871616422962845,7.482019075161976e-05,0.0036987647149087565,0.04550026389635839,0.04550026389635839,0.48733971724044817,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-RESI,avg_path_len.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.12156818024742563,0.0061255478977036435,-0.12443502491076619,-0.11870133558408508,1.9073486328125e-06,5.7220458984375e-06,-19.846090876703347,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-STAT,avg_path_len.paired_delta,raw,ED-MAIN-BASE,one_sample_t_delta_vs_0,20,-0.12879449167185025,0.0071333047161743265,-0.132132981044403,-0.12545600229929751,1.439686559938443e-25,5.758746239753772e-25,-18.0553750044936,cohens_dz_paired
CMP-ED-MAIN-BASE-OUR-M-ASIM,avg_path_len.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.13599281221922738,0.008010680729987698,-0.13974192620609205,-0.1322436982323627,8.844915021211901e-05,0.00017639740408388906,-16.976436435688058,cohens_dz_descriptive_under_non_normal
CMP-ED-MAIN-BASE-OUR-M-FPS,avg_path_len.paired_delta,raw,ED-MAIN-BASE,wilcoxon_signed_rank_delta_vs_0,20,-0.1298014721127929,0.005095358201896376,-0.13218617315715028,-0.1274167710684355,8.819870204194453e-05,0.00017639740408388906,-25.47445478209633,cohens_dz_descriptive_under_non_normal
